index,ID,Region,Main Source of Income,Agricultural Household indicator,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Walls,House Floor Area,House Age,Number of bedrooms,Electricity,Total Household Income,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
22371,1676,I,Wage/Salaries,0.0,Male,57.0,Married,Worked for government/government corporation,Extended Family,6.0,,0.0,2.0,Single house,Strong,50.0,25.0,1.0,1.0,325350.0,,41886.0,27060.0,6343.0,12628.0,,2580.0,,,0.0,3470.0,42282.0,13800.0,710.0,,3300.0,0.0,11220.0,,0.0,60000.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1159,1160,A,Wage/Salaries,0.0,Male,46.0,Married,Self-employed wihout any employee,Single Family,6.0,0.0,3.0,1.0,Single house,Strong,36.0,11.0,3.0,1.0,325344.0,82254.0,24016.0,21314.0,12046.0,8828.0,2265.0,7353.0,17150.0,90.0,0.0,3785.0,27300.0,7200.0,,5982.0,564.0,450.0,2904.0,4000.0,0.0,11636.5,1.0,0.0,,1.0,0.0,,,0.0,2.0,,0.0,0.0,
38025,392,P,Enterpreneurial Activities,0.0,Male,78.0,Married,Self-employed wihout any employee,Extended Family,4.0,0.0,0.0,0.0,Single house,Strong,68.0,,,1.0,325321.0,,33946.0,26426.0,17408.0,7124.0,,,1950.0,90.0,,,,,,4899.0,1140.0,0.0,9420.0,5080.0,,,2.0,,,1.0,1.0,,0.0,0.0,2.0,,,0.0,
16173,1859,G,Other sources of Income,0.0,Male,42.0,Married,Employer in own family-operated farm or business,Extended Family,5.0,0.0,2.0,0.0,Single house,Strong,80.0,14.0,,1.0,325269.0,85209.0,24471.0,17871.0,11447.0,7006.0,,6600.0,7180.0,,0.0,,,,1985.0,7620.0,,1400.0,10752.0,,,11636.5,,0.0,,,1.0,0.0,0.0,0.0,5.0,,0.0,0.0,
28850,1281,L,Wage/Salaries,0.0,Male,52.0,Married,Worked for private establishment,Single Family,7.0,0.0,3.0,3.0,Single house,Strong,36.0,20.0,3.0,1.0,325260.0,,36765.0,17132.0,,,1620.0,4360.0,5500.0,,0.0,,45120.0,18000.0,600.0,12792.0,1404.0,,5766.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0
31562,1656,M,Wage/Salaries,0.0,Male,50.0,Married,Worked for government/government corporation,Extended Family,,0.0,4.0,,Single house,Light,,,1.0,1.0,325205.0,68967.0,41774.0,33220.0,17953.0,15309.0,1320.0,3129.0,5500.0,,,6455.0,36924.0,9000.0,540.0,,1302.0,300.0,7722.0,200.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17835,1302,H,Wage/Salaries,0.0,Male,52.0,Married,Worked for government/government corporation,Single Family,5.0,0.0,0.0,4.0,Single house,Strong,80.0,25.0,3.0,1.0,325099.0,120378.0,34276.0,29250.0,,8760.0,1974.0,5926.0,21280.0,,2080.0,3650.0,,24000.0,221.0,4899.0,,0.0,,0.0,0.0,15130.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,4.0,,0.0,0.0,0.0
33152,898,N,Wage/Salaries,,Male,44.0,Married,Worked for private establishment,Single Family,7.0,0.0,3.0,3.0,Single house,Strong,20.0,20.0,,1.0,325066.0,137129.0,38220.0,32580.0,10557.0,6276.0,2410.0,4743.0,,720.0,,2300.0,44958.0,0.0,631.0,,2916.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20238,3705,H,Wage/Salaries,0.0,Male,56.0,Married,Worked for private establishment,Extended Family,7.0,0.0,2.0,4.0,Single house,Strong,80.0,25.0,2.0,1.0,325040.0,,34488.0,26000.0,,13022.0,,6877.0,,0.0,0.0,3950.0,52860.0,9000.0,1800.0,11064.0,1356.0,1620.0,11868.0,3400.0,0.0,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,2.0,,0.0,0.0,
13451,2374,F,Wage/Salaries,0.0,Male,52.0,Married,Worked for private establishment,Single Family,5.0,0.0,2.0,1.0,Single house,Strong,,9.0,3.0,1.0,325011.0,68967.0,41331.0,15900.0,,14642.0,3018.0,3709.0,17200.0,0.0,0.0,1510.0,,,,,,,5766.0,,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,3.0,,0.0,0.0,
33000,746,N,Other sources of Income,,Female,50.0,Widowed,,Single Family,1.0,0.0,0.0,0.0,Duplex,Strong,,25.0,2.0,1.0,325000.0,74004.0,8046.0,3620.0,780.0,2860.0,1620.0,2628.0,9100.0,0.0,0.0,2300.0,,,,11958.0,,0.0,5322.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,,0.0,,1.0,0.0,,0.0,0.0
33066,812,N,Wage/Salaries,,Male,46.0,Married,,Extended Family,6.0,0.0,1.0,1.0,Single house,Strong,30.0,20.0,1.0,1.0,325000.0,68967.0,25096.0,15020.0,,15955.0,,4072.0,5500.0,0.0,0.0,,,0.0,710.0,15174.0,,0.0,,3000.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0
13101,2024,F,Wage/Salaries,0.0,Male,55.0,Married,Self-employed wihout any employee,Extended Family,5.0,0.0,0.0,2.0,Single house,Strong,45.0,11.0,2.0,1.0,325000.0,121369.0,33710.0,18578.0,6343.0,8080.0,2851.0,,8448.0,90.0,,,19848.0,9000.0,,15234.0,1140.0,2350.0,,3800.0,0.0,61000.0,2.0,1.0,,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,
41451,1696,Q,Wage/Salaries,,Male,58.0,Married,Self-employed wihout any employee,Single Family,3.0,0.0,0.0,1.0,Single house,Quite Strong,22.0,18.0,2.0,1.0,324996.0,82699.0,23738.0,18683.0,18000.0,13318.0,3560.0,3745.0,0.0,90.0,0.0,6240.0,18060.0,7800.0,2101.0,6240.0,648.0,0.0,,1000.0,,40450.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33436,1182,N,Enterpreneurial Activities,,Female,,Married,,Extended Family,8.0,,4.0,0.0,Multi-unit residential,Strong,42.0,30.0,1.0,1.0,324996.0,68967.0,21602.0,12060.0,,,,7890.0,15780.0,0.0,,2125.0,,9000.0,710.0,48.0,,2170.0,5766.0,5000.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1026,1027,A,Enterpreneurial Activities,0.0,Male,,Widowed,,Single Family,7.0,0.0,4.0,1.0,Single house,Strong,36.0,28.0,,1.0,324982.0,67764.0,32593.0,26280.0,10782.0,3586.0,1566.0,4341.0,1000.0,0.0,1810.0,2300.0,31440.0,24000.0,2300.0,2664.0,3000.0,450.0,7254.0,4000.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
16405,2091,G,Other sources of Income,0.0,Male,63.0,Married,Employer in own family-operated farm or business,Extended Family,7.0,0.0,2.0,0.0,Single house,Strong,,23.0,,1.0,324968.0,,33274.0,22173.0,,13109.0,,,,270.0,0.0,4045.0,19848.0,,710.0,11232.0,1140.0,,11532.0,,,39560.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0
15146,832,G,Wage/Salaries,0.0,Male,46.0,Married,Worked for private establishment,Single Family,6.0,0.0,1.0,2.0,Single house,Strong,50.0,,2.0,1.0,324925.0,101190.0,22612.0,16400.0,8695.0,6044.0,1730.0,8070.0,5500.0,,,3010.0,37200.0,27000.0,404.0,9798.0,1572.0,,,3200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
3840,334,C,Wage/Salaries,0.0,Male,55.0,Widowed,Worked for private establishment,Extended Family,4.0,0.0,0.0,2.0,Single house,Strong,25.0,35.0,1.0,1.0,324904.0,58532.0,19899.0,17250.0,5830.0,6205.0,1340.0,4175.0,16250.0,0.0,735.0,2300.0,20862.0,6000.0,300.0,4974.0,3600.0,0.0,8220.0,1000.0,0.0,11636.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,
5144,1638,C,Other sources of Income,0.0,Male,60.0,Married,,Single Family,3.0,0.0,0.0,0.0,Single house,Strong,,,,1.0,324829.0,72245.0,18832.0,12900.0,13391.0,11455.0,2582.0,4750.0,3900.0,585.0,0.0,2300.0,,27000.0,,8820.0,2952.0,0.0,9186.0,5000.0,0.0,17000.0,1.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,,,0.0,0.0
34747,2493,N,Wage/Salaries,,Male,49.0,Married,Worked for private establishment,Single Family,3.0,0.0,0.0,2.0,Single house,Strong,23.0,10.0,1.0,1.0,324824.0,68967.0,20123.0,9965.0,12277.0,14762.0,2481.0,7787.0,,,0.0,,19848.0,27000.0,2511.0,4899.0,1950.0,0.0,,1530.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
14641,327,G,Enterpreneurial Activities,0.0,Male,31.0,Married,Self-employed wihout any employee,Single Family,2.0,0.0,0.0,1.0,Single house,Strong,80.0,13.0,,1.0,324810.0,97309.0,14543.0,8340.0,,,2085.0,4285.0,15600.0,0.0,0.0,,49500.0,20400.0,620.0,15042.0,,0.0,,3000.0,0.0,,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,2.0,,,0.0,0.0
36480,96,O,Other sources of Income,0.0,Male,44.0,Married,Worked for private establishment,Extended Family,7.0,,1.0,2.0,Single house,Strong,30.0,23.0,2.0,1.0,324792.0,,36864.0,25121.0,15470.0,,3660.0,7601.0,,,,,26754.0,9000.0,710.0,,3606.0,,12096.0,,0.0,21960.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0
39837,82,Q,Wage/Salaries,0.0,Female,44.0,Married,Employer in own family-operated farm or business,Single Family,6.0,0.0,3.0,1.0,Single house,Strong,32.0,7.0,2.0,1.0,324778.0,93398.0,,,13411.0,8214.0,1407.0,2865.0,4080.0,455.0,0.0,,21852.0,9000.0,1764.0,6066.0,1476.0,,9288.0,,,11636.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0
9933,1104,E,Wage/Salaries,0.0,Male,47.0,Married,Self-employed wihout any employee,Single Family,1.0,0.0,0.0,1.0,Single house,Strong,9.0,19.0,1.0,1.0,324736.0,18900.0,,0.0,0.0,0.0,0.0,0.0,5500.0,,,0.0,8400.0,6000.0,0.0,1152.0,1320.0,,1464.0,0.0,0.0,60736.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0
16775,242,H,Wage/Salaries,0.0,Male,53.0,Married,Worked for private establishment,Single Family,,,3.0,,Single house,Light,,24.0,3.0,1.0,324730.0,,34370.0,26313.0,,,3170.0,,16300.0,,0.0,2825.0,49560.0,9000.0,,4899.0,2280.0,1960.0,10236.0,0.0,0.0,19690.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0
3271,1547,B,Wage/Salaries,0.0,Male,58.0,Married,Self-employed wihout any employee,Single Family,7.0,0.0,2.0,3.0,Single house,Strong,75.0,25.0,2.0,1.0,324706.0,,,,13650.0,12639.0,2172.0,3790.0,5500.0,,,5360.0,20664.0,15000.0,708.0,12228.0,2604.0,600.0,11322.0,3376.0,,37765.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
8776,2419,D,Other sources of Income,0.0,Female,70.0,Widowed,Employer in own family-operated farm or business,Single Family,3.0,0.0,0.0,0.0,Single house,Strong,,29.0,3.0,1.0,324648.0,93888.0,20960.0,12802.0,15114.0,10072.0,,4072.0,3600.0,0.0,0.0,5584.0,19848.0,9000.0,,,1194.0,0.0,5766.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0
15240,926,G,Wage/Salaries,0.0,Female,47.0,Divorced/Separated,,Extended Family,7.0,0.0,1.0,4.0,Single house,Light,56.0,26.0,2.0,1.0,324648.0,106768.0,32129.0,24600.0,13136.0,13051.0,1685.0,5545.0,5500.0,0.0,0.0,3135.0,24588.0,9000.0,1160.0,,2442.0,700.0,5766.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,
658,659,A,Wage/Salaries,0.0,Male,58.0,Married,Worked for private establishment,Single Family,6.0,0.0,0.0,2.0,Single house,Strong,50.0,29.0,3.0,1.0,324622.0,77767.0,18937.0,15760.0,9311.0,4335.0,762.0,4007.0,22100.0,0.0,0.0,2360.0,50718.0,9000.0,276.0,8826.0,3900.0,,9660.0,1500.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
25919,796,K,Wage/Salaries,0.0,Male,56.0,Divorced/Separated,Worked for private establishment,Extended Family,3.0,0.0,2.0,1.0,Single house,Strong,47.0,27.0,2.0,1.0,324600.0,68967.0,38227.0,20290.0,12376.0,3443.0,3447.0,2587.0,,90.0,0.0,6285.0,40200.0,9000.0,1836.0,8160.0,2442.0,844.0,9816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
35656,3402,N,Other sources of Income,,Male,34.0,Married,Self-employed wihout any employee,Single Family,7.0,0.0,4.0,0.0,Single house,Strong,42.0,18.0,2.0,1.0,324590.0,134721.0,36208.0,28125.0,6343.0,8080.0,,7553.0,8020.0,90.0,0.0,6345.0,19848.0,9000.0,206.0,6060.0,1140.0,450.0,10752.0,1000.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
10441,1612,E,Wage/Salaries,0.0,Male,41.0,Married,Worked for government/government corporation,Single Family,7.0,0.0,4.0,1.0,Single house,Strong,80.0,16.0,2.0,1.0,324550.0,68967.0,31585.0,11652.0,7987.0,,1620.0,4072.0,6240.0,0.0,0.0,4690.0,24990.0,10800.0,710.0,4899.0,,450.0,7728.0,1000.0,0.0,18000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
4338,832,C,Wage/Salaries,0.0,Male,71.0,Married,Self-employed wihout any employee,Single Family,3.0,0.0,0.0,1.0,Single house,Strong,52.0,4.0,3.0,1.0,324502.0,59893.0,25337.0,20388.0,6891.0,4873.0,1820.0,4475.0,2600.0,0.0,0.0,1450.0,21870.0,13800.0,1654.0,7440.0,1668.0,0.0,5766.0,3500.0,0.0,50400.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,
31399,1493,M,Wage/Salaries,0.0,Female,46.0,Married,Worked for private establishment,Single Family,5.0,0.0,2.0,2.0,Single house,Very Light,30.0,15.0,2.0,1.0,324493.0,68718.0,14278.0,10111.0,4315.0,6821.0,663.0,5335.0,,510.0,0.0,5585.0,24762.0,18000.0,2590.0,,2598.0,450.0,5766.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
4966,1460,C,Wage/Salaries,0.0,Male,44.0,Married,Self-employed wihout any employee,Single Family,5.0,,1.0,1.0,Single house,Quite Strong,36.0,10.0,2.0,1.0,324464.0,68967.0,22558.5,24134.0,12462.0,17226.0,3922.0,6905.0,5680.0,150.0,0.0,2300.0,48180.0,24000.0,3354.0,11196.0,,1080.0,14238.0,1000.0,0.0,11636.5,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,2.0,,,0.0,
13360,2283,F,Other sources of Income,0.0,Male,58.0,Married,Worked for private establishment,Extended Family,4.0,0.0,1.0,2.0,Duplex,Strong,40.0,11.0,3.0,1.0,324422.0,62304.0,14922.0,12032.0,9194.0,7136.0,1140.0,3864.0,11157.0,438.0,905.0,1800.0,19848.0,9000.0,710.0,4899.0,2496.0,,11322.0,3500.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0
36346,4092,N,Wage/Salaries,,Male,37.0,Married,Worked for private establishment,Single Family,2.0,0.0,0.0,1.0,Multi-unit residential,Strong,40.0,15.0,2.0,1.0,324412.0,96561.0,18410.0,13230.0,11453.0,6555.0,,3708.0,,0.0,0.0,4500.0,19848.0,,1288.0,10848.0,3300.0,0.0,14610.0,2650.0,0.0,11636.5,1.0,1.0,,1.0,1.0,,0.0,0.0,2.0,,,0.0,
17169,636,H,Other sources of Income,0.0,Male,48.0,Married,Self-employed wihout any employee,Single Family,4.0,0.0,2.0,1.0,Single house,Strong,36.0,15.0,2.0,1.0,324409.0,133365.0,40157.0,30576.0,18199.0,10269.0,3380.0,,19125.0,40.0,1690.0,,19848.0,,710.0,10944.0,2238.0,1030.0,5766.0,0.0,0.0,11636.5,,,,1.0,1.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0
18551,2018,H,Enterpreneurial Activities,0.0,Male,50.0,Married,Self-employed wihout any employee,Single Family,4.0,0.0,0.0,1.0,Single house,Strong,39.0,,1.0,1.0,324390.0,,39798.0,,,9483.0,2025.0,6885.0,12980.0,228.0,,4400.0,47802.0,9000.0,710.0,870.0,1140.0,,9192.0,2000.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0
41057,1302,Q,Other sources of Income,0.0,Female,54.0,Divorced/Separated,,Extended Family,3.0,0.0,1.0,0.0,Single house,Strong,65.0,12.0,3.0,1.0,324385.0,116616.0,23690.0,11001.0,19118.0,12340.0,,5036.0,5500.0,0.0,0.0,5136.0,19848.0,,2956.0,,,345.0,12432.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0
38318,685,P,Enterpreneurial Activities,0.0,Male,52.0,Married,Self-employed wihout any employee,Extended Family,3.0,0.0,0.0,0.0,Single house,Strong,76.0,25.0,2.0,1.0,324384.0,96606.0,22032.0,15927.0,11386.0,16477.0,2783.0,5006.0,8183.0,980.0,,,19848.0,9000.0,710.0,11340.0,,450.0,5766.0,1000.0,0.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,4.0,,0.0,0.0,
13093,2016,F,Wage/Salaries,0.0,Male,32.0,Married,Self-employed wihout any employee,Single Family,3.0,0.0,0.0,1.0,Single house,Strong,45.0,20.0,1.0,1.0,324252.0,114795.0,14986.0,7904.0,10098.0,9161.0,1568.0,4072.0,12050.0,1074.0,1086.0,1625.0,35640.0,24000.0,710.0,7440.0,1140.0,0.0,5766.0,2000.0,0.0,11636.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25970,847,K,Wage/Salaries,0.0,Male,43.0,Married,Worked for private establishment,Single Family,5.0,0.0,2.0,2.0,Single house,Strong,54.0,,2.0,1.0,324239.0,68967.0,41457.0,22256.0,8838.0,,2610.0,4072.0,5500.0,,0.0,4733.0,20442.0,15000.0,295.0,4899.0,1140.0,1670.0,9348.0,,,11636.5,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,
12158,1081,F,Enterpreneurial Activities,0.0,Male,25.0,Single,Self-employed wihout any employee,Extended Family,7.0,,1.0,1.0,Duplex,Strong,40.0,,2.0,1.0,324206.0,136291.0,,,6343.0,,3830.0,,0.0,,,4440.0,,9000.0,279.0,11016.0,1140.0,0.0,8178.0,3500.0,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,
25430,307,K,Enterpreneurial Activities,0.0,Female,78.0,Widowed,Employer in own family-operated farm or business,Extended Family,6.0,0.0,0.0,0.0,Duplex,Strong,40.0,35.0,2.0,1.0,324168.0,90476.0,17015.0,12368.0,15606.0,,1215.0,4072.0,780.0,,0.0,2710.0,,,710.0,,2160.0,0.0,5736.0,,,,1.0,1.0,,1.0,0.0,,,0.0,3.0,0.0,0.0,0.0,
17970,1437,H,Wage/Salaries,0.0,Male,45.0,Married,Self-employed wihout any employee,Extended Family,,,3.0,3.0,Single house,Strong,80.0,20.0,2.0,1.0,324147.0,68967.0,41687.0,,12890.0,6648.0,1015.0,4800.0,,600.0,,4525.0,28362.0,12000.0,260.0,,1140.0,640.0,5766.0,1000.0,0.0,23400.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0
6297,2791,C,Wage/Salaries,,Male,43.0,Married,Worked for private establishment,Extended Family,8.0,0.0,2.0,3.0,Single house,Light,,21.0,2.0,1.0,324091.0,68967.0,38996.0,30300.0,,15190.0,,4072.0,12500.0,0.0,520.0,,48180.0,15000.0,,15720.0,,1280.0,,0.0,0.0,55540.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
29588,2019,L,Wage/Salaries,0.0,Male,63.0,Married,Worked for private establishment,Extended Family,7.0,0.0,1.0,2.0,Single house,Strong,48.0,27.0,2.0,1.0,324050.0,120130.0,,33287.0,12365.0,8080.0,1660.0,4072.0,15670.0,90.0,,2370.0,12102.0,6000.0,250.0,,1758.0,,11742.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11181,104,F,Other sources of Income,0.0,Female,58.0,Widowed,Worked for private household,Extended Family,6.0,0.0,2.0,3.0,Single house,Very Light,40.0,15.0,1.0,1.0,324046.0,127130.0,24901.0,18658.0,7226.0,,1020.0,,,0.0,0.0,6045.0,32502.0,15000.0,1740.0,15678.0,,,15432.0,1500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,
25534,411,K,Wage/Salaries,0.0,Male,43.0,Married,Worked for private establishment,Extended Family,,0.0,3.0,2.0,Single house,Strong,60.0,32.0,,1.0,324002.0,118601.0,41009.0,20930.0,9632.0,12684.0,916.0,6405.0,20150.0,0.0,0.0,2200.0,32400.0,21000.0,,10860.0,3480.0,,11244.0,3000.0,0.0,80000.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,
10402,1573,E,Enterpreneurial Activities,0.0,Male,51.0,Married,Self-employed wihout any employee,Single Family,6.0,0.0,1.0,0.0,Single house,Strong,40.0,15.0,3.0,1.0,324000.0,105873.0,35701.0,23270.0,2941.0,,,,0.0,0.0,0.0,2160.0,38022.0,21000.0,456.0,13260.0,3600.0,,7068.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
33153,899,N,Other sources of Income,,Female,33.0,Married,,Single Family,3.0,,0.0,1.0,Single house,Strong,,30.0,2.0,1.0,324000.0,125328.0,25566.0,19552.0,19052.0,8826.0,3484.0,,5400.0,0.0,0.0,5615.0,,,,1422.0,,0.0,15210.0,,0.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,,1.0,,0.0,0.0,0.0
20687,4154,H,Enterpreneurial Activities,0.0,Male,53.0,Married,Employer in own family-operated farm or business,Single Family,3.0,0.0,1.0,0.0,Single house,Strong,50.0,7.0,1.0,1.0,323996.0,103919.0,21057.0,16290.0,6343.0,7898.0,1620.0,2464.0,5500.0,540.0,0.0,6499.0,,,1140.0,4899.0,,450.0,15264.0,0.0,0.0,,2.0,1.0,,1.0,0.0,,0.0,,3.0,,0.0,0.0,
39081,1448,P,Wage/Salaries,0.0,Male,46.0,Married,Worked for private establishment,Single Family,7.0,0.0,2.0,3.0,Single house,Light,40.0,14.0,3.0,1.0,323930.0,68967.0,,15900.0,6343.0,,2460.0,4340.0,19260.0,90.0,0.0,,15000.0,6000.0,595.0,,,,5766.0,,0.0,9000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,,,0.0,
24633,1397,J,Wage/Salaries,0.0,Male,44.0,Widowed,Worked for private establishment,Single Family,5.0,0.0,2.0,1.0,Single house,Strong,70.0,10.0,2.0,1.0,323925.0,68967.0,37055.0,30499.0,6982.0,,1330.0,,,510.0,0.0,2300.0,,,,15402.0,,,5766.0,1000.0,0.0,40000.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,4.0,,,0.0,
15858,1544,G,Other sources of Income,0.0,Female,32.0,Single,,Single Family,3.0,0.0,0.0,0.0,Single house,Strong,68.0,21.0,3.0,1.0,323915.0,90995.0,21196.0,15834.0,,8541.0,1534.0,5031.0,7200.0,0.0,0.0,,48510.0,24000.0,,11736.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
34441,2187,N,Wage/Salaries,,Male,66.0,Married,Worked for private establishment,Extended Family,5.0,0.0,1.0,1.0,Single house,Strong,45.0,2.0,3.0,1.0,323910.0,126944.0,22558.5,30046.0,10021.0,11399.0,1620.0,6260.0,18100.0,306.0,390.0,,,,710.0,6600.0,,940.0,5766.0,2600.0,0.0,72772.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34963,2709,N,Wage/Salaries,,Male,51.0,Married,Worked for government/government corporation,Extended Family,3.0,0.0,0.0,2.0,Single house,Strong,80.0,2.0,2.0,1.0,323892.0,100756.0,14737.0,12558.0,15536.0,7760.0,1469.0,5531.0,5500.0,,0.0,2300.0,,,,8046.0,,0.0,,1500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,0.0,,0.0,,0.0,0.0,0.0
24984,1748,J,Wage/Salaries,0.0,Female,47.0,Single,Worked for government/government corporation,Extended Family,6.0,0.0,0.0,,Single house,Strong,50.0,28.0,2.0,1.0,323870.0,76075.0,33935.0,18600.0,6173.0,8877.0,1070.0,3180.0,8580.0,90.0,0.0,4185.0,16500.0,7800.0,1060.0,14982.0,,,12408.0,,0.0,5450.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,
5618,2112,C,Other sources of Income,0.0,Female,63.0,Widowed,,Single Family,2.0,0.0,0.0,1.0,Single house,Strong,73.0,13.0,3.0,1.0,323835.0,68119.0,16329.0,11581.0,7330.0,14151.0,1620.0,7750.0,4100.0,1122.0,1272.0,,25794.0,13500.0,511.0,,2550.0,,5766.0,,,34340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
